"";"page";"nedits_edit";"nedits_talk";"density_edit";"density_talk";"ncontributors_edit";"ncontributors_talk";"nadmins_edit";"nadmins_talk";"nbots_edit";"nbots_talk";"nanon_edit";"nanon_talk";"transitivity_edit";"transitivity_talk";"centralization_edit";"centralization_talk";"mean_betweenness_edit";"mean_betweenness_talk";"mean_betweenness_admins_edit";"mean_betweenness_admins_talk";"mean_degree_centrality_edit";"mean_degree_centrality_talk";"mean_degree_centrality_admins_edit";"mean_degree_centrality_admins_talk";"sd_betweenness_edit";"sd_betweenness_talk";"sd_betweenness_admins_edit";"sd_betweenness_admins_talk";"sd_degree_centrality_edit";"sd_degree_centrality_talk";"sd_degree_centrality_admins_edit";"sd_degree_centrality_admins_talk";"max_discussion_depth";"mean_discussion_depth";"sd_discussion_depth";"iscontroversial";"isfeatured";"nadded";"ndeleted";"nrestored";"ninitialized";"nresponded";"degree_assortativity_edit";"degree_assortativity_talk";"nquar1_edit";"nquar2_edit";"nquar3_edit";"nquar4_edit";"nquar1_talk";"nquar2_talk";"nquar3_talk";"nquar4_talk"
"1";"2012_phenomenon";"3074";"944";"0.0268279485434012";"0.00511736325689814";"339";"430";"19";"9";"0";"5";"199";"88";"0.182267839357159";"0.0166864229050789";"0.621454956058962";"0.525241658108791";"156.46017699115";"575.290748898678";"0";"0";"18.1356932153392";"7.42290748898678";"4.36842105263158";"1";"996.382503994923";"2670.96838198931";"0";"0";"50.7555855238623";"33.3243247998742";"6.36143350647556";"0";"77";"7.31673728813559";"12.345172443616";"0";"0";"0";"1973";"1101";"205";"739";"-0.0937380444194716";"0.355494195017765";"112";"62";"51";"87";"91";"24";"37";"73"
"2";"Adolf_Hitler";"95801";"494";"0.0144651091017201";"0.00512394979773882";"2574";"311";"254";"45";"2";"1";"1642";"97";"0.153670456559722";"0.0452830188679245";"0.735917958155856";"0.0644380853277836";"2410.6181041181";"1018.15486725664";"33.960174105928";"33.1777777777778";"74.4374514374514";"3.99557522123894";"33.7165354330709";"1.26666666666667";"22081.8230608758";"2066.73127771279";"223.169629908901";"119.930337523855";"178.789394708397";"5.63520504417294";"64.8489150320551";"0.719848468902878";"28";"5.66194331983806";"5.71651898617472";"0";"0";"0";"51087";"44714";"85";"409";"-0.0538412086858703";"0.315440266470642";"646";"459";"604";"719";"52";"34";"51";"89"
"3";"Agnosticism";"407";"113";"0.0455767077267637";"0.012390350877193";"95";"96";"17";"8";"1";"0";"34";"24";"0.313737623762376";"0.032967032967033";"0.620529651425985";"0.115124653739612";"33.1789473684211";"43.7868852459016";"4.19291100949022";"0";"8.56842105263158";"3.13114754098361";"5";"1";"81.4205955201615";"62.9184961555022";"11.896310310364";"0";"18.9729104933003";"3.8274247644949";"8.76070773396762";"0";"14";"2.54867256637168";"3.03547816438742";"0";"0";"0";"325";"82";"35";"78";"0.293393191374954";"0.171824046093597";"14";"7";"19";"39";"12";"8";"13";"28"
"4";"Allergy";"1630";"284";"0.0105805681051046";"0.00605905444615122";"393";"217";"40";"12";"3";"2";"188";"72";"0.0664150547780049";"0.0277563608326908";"0.280950645564348";"0.114840534979424";"161.783715012723";"773.447368421053";"0.025";"42.9166666666667";"8.29516539440204";"3.30921052631579";"5.675";"1.41666666666667";"1273.06914541067";"1335.6127321608";"0.158113883008419";"87.0041360911635";"22.0832007910812";"5.43868112254581";"13.9677054261534";"0.90033663737852";"31";"4.84859154929577";"6.13064175492894";"0";"0";"0";"1069";"561";"65";"219";"-0.228127435719084";"0.067379190366663";"61";"68";"99";"135";"33";"20";"51";"48"
"5";"American_Airlines_Flight_77";"5259";"665";"0.0106868088323153";"0.00503284594193685";"702";"364";"74";"23";"7";"6";"356";"110";"0.116934713915256";"0.0281218613993974";"0.686439384535237";"0.28086272188451";"475.078347578348";"1080.08130081301";"23.6955983582818";"0";"14.982905982906";"4.92682926829268";"10.027027027027";"1";"4204.42999056623";"2748.10770253432";"126.902563847524";"0";"52.4096096380559";"15.4843809292644";"22.7974842237201";"0";"39";"6.86616541353383";"7.67576069792918";"0";"0";"0";"3434";"1825";"118";"547";"0.0419090371077136";"0.612080734025517";"139";"105";"140";"259";"63";"35";"50";"98"
"6";"Anthropology";"415";"84";"0.0229408512990603";"0.012962962962963";"135";"81";"21";"7";"1";"0";"67";"30";"0.150319210679048";"0";"0.326492537313433";"0.10078125";"87.8888888888889";"90.5084745762712";"0";"0";"6.14814814814815";"2.47457627118644";"2.33333333333333";"1";"503.555599458227";"112.549318366991";"0";"0";"12.730571101679";"2.94405263846418";"1.15470053837925";"0";"14";"3.51190476190476";"3.61554224505263";"0";"0";"0";"299";"116";"22";"62";"-0.209298130564892";"0.203287633322158";"42";"10";"16";"51";"22";"4";"7";"26"
"7";"Ashton_Kutcher";"139";"27";"0.0334134615384615";"0.0489130434782609";"65";"24";"14";"1";"1";"0";"22";"9";"0.151193633952255";"0";"0.1802978515625";"0.175803402646503";"3.32307692307692";"9.52631578947368";"2.32142857142857";"2";"4.27692307692308";"2.57894736842105";"2.78571428571429";"2";"11.5561310132642";"10.9563194400544";"8.54311946012053";NA;"5.61389930303487";"2.11649053003851";"3.68319617532573";NA;"8";"2.81481481481481";"2.33760293129254";"0";"0";"0";"108";"31";"5";"22";"-0.242361064990468";"0.280370397190152";"7";"7";"10";"36";"3";"2";"4";"10"
"8";"Augusto_Pinochet";"8888";"465";"0.0399798481413509";"0.00438886267107126";"472";"326";"63";"21";"0";"2";"253";"106";"0.204943614950466";"0.0295712173484475";"1.35567365816057";"0.136028402366864";"430.930084745763";"449.418181818182";"16.962240688743";"0.0952380952380952";"37.6610169491525";"3.74545454545455";"10.8253968253968";"1.0952380952381";"3758.33641985752";"1421.51140426616";"71.3129869023355";"0.436435780471985";"114.626002788686";"7.55852219572798";"23.7592356796662";"0.300792603759119";"35";"5.6494623655914";"6.68791085840574";"0";"0";"0";"5402";"3486";"107";"358";"-0.0104751349501569";"0.229016579996121";"102";"83";"76";"171";"49";"40";"45";"85"
"9";"Axl_Rose";"2013";"807";"0.00794045252295749";"0.00215814640094991";"504";"612";"40";"4";"0";"0";"342";"303";"0.160114777618364";"0.0177705977382876";"0.163357825215704";"0.105215082998278";"270.892857142857";"953.856148491879";"4.05";"0";"7.98809523809524";"3.32482598607889";"3.4";"1";"1467.96947370478";"2516.36939318057";"25.6144490473639";"0";"17.2384705799339";"7.63110592155081";"3.48476537855703";"0";"40";"6.02106567534077";"7.99803340309487";"0";"0";"0";"1413";"600";"182";"625";"-0.0436032345191274";"0.41515000348622";"154";"88";"106";"133";"159";"105";"93";"73"
"10";"Balto-Slavic_languages";"195";"18";"0.0351351351351351";"0.0857142857142857";"75";"15";"9";"4";"0";"0";"27";"1";"0.203947368421053";"0";"0.45745069393718";"0.36734693877551";"39.28";"5.88888888888889";"30.1944444444444";"0";"5.2";"3.33333333333333";"2.66666666666667";"1";"145.71215953487";"5.79750904364203";"66.1085492033956";"0";"9.46258635577719";"3.53553390593274";"3.16227766016838";"0";"7";"2.38888888888889";"2.32982930172221";"0";"0";"0";"181";"14";"6";"12";"-0.12940024572903";"0.329846239872372";"7";"10";"13";"38";"2";"0";"0";"7"
