"";"page";"density";"ncontributors";"nanon";"nedits";"transitivity";"nadmins";"nbots";"centralization";"mean_betweenness_admin";"mean_degree_centrality_admins";"mean_betweenness";"mean_degree_centrality";"sd_betweenness";"sd_degree_centrality";"sd_betweenness_admin";"sd_degree_centrality_admins";"max_discussion_depth";"mean_discussion_depth";"sd_discussion_depth";"degree_assortativity";"nquar1";"nquar2";"nquar3";"nquar4";"mean_degree_anon";"mean_degree_inscrit";"mean_indegree_admin";"mean_outdegree_admin";"mean_indegree_anon";"mean_outdegree_anon";"mean_indegree_inscrit";"mean_outdegree_inscrit";"mean_degree_quar1";"mean_indegree_quar1";"mean_outdegree_quar1";"mean_degree_quar2";"mean_indegree_quar2";"mean_outdegree_quar2";"mean_degree_quar3";"mean_indegree_quar3";"mean_outdegree_quar3";"mean_degree_quar4";"mean_indegree_quar4";"mean_outdegree_quar4";"ninitialized";"nresponded";"sd_degree_anon";"sd_degree_inscrit";"sd_indegree_admin";"sd_outdegree_admin";"sd_indegree_anon";"sd_outdegree_anon";"sd_indegree_inscrit";"sd_outdegree_inscrit";"sd_degree_quar1";"sd_indegree_quar1";"sd_outdegree_quar1";"sd_degree_quar2";"sd_indegree_quar2";"sd_outdegree_quar2";"sd_degree_quar3";"sd_indegree_quar3";"sd_outdegree_quar3";"sd_degree_quar4";"sd_indegree_quar4";"sd_outdegree_quar4";"iscontroversial";"isfeatured"
"1";"2012_phenomenon";"0.00511736325689814";"430";"88";"944";"0.0166864229050789";"9";"5";"0.525241658108791";"0";"1";"575.290748898678";"7.42290748898678";"2670.96838198931";"33.3243247998742";"0";"0";"77";"7.31673728813559";"12.345172443616";"0.355494195017765";"91";"24";"37";"73";"2.42045454545455";"1.91869918699187";"1";"0";"1.45454545454545";"0.965909090909091";"1.43089430894309";"0.48780487804878";"2.46153846153846";"1.62637362637363";"0.835164835164835";"1.625";"1.125";"0.5";"1";"0.918918918918919";"0.0810810810810811";"2.23287671232877";"1.49315068493151";"0.73972602739726";"205";"739";"9.65939670055018";"10.188866871742";"0";"0";"3.97379083296001";"5.70631604822369";"4.77884906373739";"5.41001780800459";"11.8502767828038";"5.55907336732451";"6.29684883495747";"2.29957462985241";"0.679673834820151";"1.6681153124566";"0";"0.27672473069203";"0.27672473069203";"10.5337032476518";"4.33372846811057";"6.20265936975664";"0";"0"
"2";"Adolf_Hitler";"0.00512394979773882";"311";"97";"494";"0.0452830188679245";"45";"1";"0.0644380853277836";"33.1777777777778";"1.26666666666667";"1018.15486725664";"3.99557522123894";"2066.73127771279";"5.63520504417294";"119.930337523855";"0.719848468902878";"28";"5.66194331983806";"5.71651898617472";"0.315440266470642";"52";"34";"51";"89";"3.4020618556701";"2.21686746987952";"0.888888888888889";"0.377777777777778";"1.57731958762887";"1.82474226804124";"1.34939759036145";"0.867469879518072";"2.69230769230769";"1.34615384615385";"1.34615384615385";"3.79411764705882";"1.85294117647059";"1.94117647058824";"3.49019607843137";"1.74509803921569";"1.74509803921569";"1.40449438202247";"0.943820224719101";"0.460674157303371";"85";"409";"4.47367250751185";"4.31968887986241";"0.382706998191366";"0.683868969669459";"2.15462221914109";"2.34525366999655";"2.02685467574256";"2.34661709980689";"3.47844038490129";"1.64358068437888";"1.90854235914522";"6.35218603157048";"3.01644334958962";"3.34791818145734";"5.29668782927447";"2.53647895520465";"2.79887932755167";"0.849051624991024";"0.380177905776832";"0.739412847149082";"0";"0"
"3";"Agnosticism";"0.012390350877193";"96";"24";"113";"0.032967032967033";"8";"0";"0.115124653739612";"0";"1";"43.7868852459016";"3.13114754098361";"62.9184961555022";"3.8274247644949";"0";"0";"14";"2.54867256637168";"3.03547816438742";"0.171824046093597";"12";"8";"13";"28";"2.20833333333333";"1.03448275862069";"1";"0";"0.833333333333333";"1.375";"0.931034482758621";"0.103448275862069";"1.41666666666667";"0.833333333333333";"0.583333333333333";"3.25";"1.25";"2";"1.46153846153846";"0.769230769230769";"0.692307692307692";"1.03571428571429";"0.892857142857143";"0.142857142857143";"35";"78";"1.93321463903513";"0.185695338177052";"0";"0";"0.816496580927726";"1.27901116696352";"0.257880714777564";"0.409252592818988";"0.514928650544437";"0.389249472080761";"0.668557923421521";"3.15096357144468";"1.16496474502144";"2.20389266007736";"0.518874521662771";"0.438529009653515";"0.480384461415261";"0.188982236504614";"0.314970394174356";"0.356348322549899";"0";"0"
"4";"Allergy";"0.00605905444615122";"217";"72";"284";"0.0277563608326908";"12";"2";"0.114840534979424";"42.9166666666667";"1.41666666666667";"773.447368421053";"3.30921052631579";"1335.6127321608";"5.43868112254581";"87.0041360911635";"0.90033663737852";"31";"4.84859154929577";"6.13064175492894";"0.067379190366663";"33";"20";"51";"48";"2.44444444444444";"1.40909090909091";"1";"0.416666666666667";"1.04166666666667";"1.40277777777778";"1.06060606060606";"0.348484848484849";"2.03030303030303";"1.06060606060606";"0.96969696969697";"2.45";"1.15";"1.3";"2.2156862745098";"1.05882352941176";"1.15686274509804";"1.22916666666667";"0.958333333333333";"0.270833333333333";"65";"219";"2.20683246898488";"2.59571998446717";"0.426401432711221";"0.668557923421521";"1.05399975946759";"1.21793778862633";"1.02099179351464";"1.63135077813";"1.92816053022123";"0.826868865789565";"1.23705417436062";"3.36350381220787";"1.4964871146156";"1.94935886896179";"3.00874542286446";"1.27140496626185";"1.82617139414249";"0.555038175161425";"0.288675134594813";"0.49420399497827";"0";"0"
"5";"American_Airlines_Flight_77";"0.00503284594193685";"364";"110";"665";"0.0281218613993974";"23";"6";"0.28086272188451";"0";"1";"1080.08130081301";"4.92682926829268";"2748.10770253432";"15.4843809292644";"0";"0";"39";"6.86616541353383";"7.67576069792918";"0.612080734025517";"63";"35";"50";"98";"4.94545454545455";"1.37383177570093";"0.956521739130435";"0.0434782608695652";"2.3";"2.64545454545455";"1.06542056074766";"0.308411214953271";"3.26984126984127";"1.6984126984127";"1.57142857142857";"6.37142857142857";"3.05714285714286";"3.31428571428571";"2.84";"1.4";"1.44";"1.53061224489796";"1.13265306122449";"0.397959183673469";"118";"547";"11.9216373818737";"1.68524878901234";"0.208514414057075";"0.208514414057075";"5.86788804355904";"6.06779188958769";"0.633514129004823";"1.11093378157424";"4.19756591988949";"1.90614389189545";"2.36038737740833";"20.3557850055771";"10.0262680205632";"10.3377418986462";"2.69057311245567";"1.26168012376112";"1.50047611491439";"2.16439835516675";"0.869147646243096";"1.35265905304359";"0";"0"
"6";"Anthropology";"0.012962962962963";"81";"30";"84";"0";"7";"0";"0.10078125";"0";"1";"90.5084745762712";"2.47457627118644";"112.549318366991";"2.94405263846418";"0";"0";"14";"3.51190476190476";"3.61554224505263";"0.203287633322158";"22";"4";"7";"26";"2.6";"1.04545454545455";"0.857142857142857";"0.142857142857143";"1.2";"1.4";"0.772727272727273";"0.272727272727273";"2.36363636363636";"1.18181818181818";"1.18181818181818";"1.5";"0.5";"1";"2.57142857142857";"1.28571428571429";"1.28571428571429";"1.23076923076923";"0.846153846153846";"0.384615384615385";"22";"62";"3.02404159796238";"0.21320071635561";"0.377964473009227";"0.377964473009227";"1.3746472901853";"1.67332005306815";"0.428932027228889";"0.455842305838552";"3.52603182528185";"1.56254870053974";"2.01509455376319";"0.577350269189626";"0.577350269189626";"0";"1.61834718742537";"0.755928946018454";"0.951189731211342";"0.42966892442366";"0.36794648440312";"0.496138938356834";"0";"0"
"7";"Ashton_Kutcher";"0.0489130434782609";"24";"9";"27";"0";"1";"0";"0.175803402646503";"2";"2";"9.52631578947368";"2.57894736842105";"10.9563194400544";"2.11649053003851";NA;NA;"8";"2.81481481481481";"2.33760293129254";"0.280370397190152";"3";"2";"4";"10";"2";"2.11111111111111";"1";"1";"0.888888888888889";"1.11111111111111";"1.22222222222222";"0.888888888888889";"4.66666666666667";"2.33333333333333";"2.33333333333333";"2";"0.5";"1.5";"1.5";"0.75";"0.75";"1.5";"0.9";"0.6";"5";"22";"0";"2.97676184991529";NA;NA;"0.333333333333333";"0.333333333333333";"1.48136573621926";"1.61589328580544";"4.61880215351701";"2.3094010767585";"2.3094010767585";"0";"0.707106781186548";"0.707106781186548";"0.577350269189626";"0.5";"0.5";"0.52704627669473";"0.316227766016838";"0.516397779494322";"0";"0"
"8";"Augusto_Pinochet";"0.00438886267107126";"326";"106";"465";"0.0295712173484475";"21";"2";"0.136028402366864";"0.0952380952380952";"1.0952380952381";"449.418181818182";"3.74545454545455";"1421.51140426616";"7.55852219572798";"0.436435780471985";"0.300792603759119";"35";"5.6494623655914";"6.68791085840574";"0.229016579996121";"49";"40";"45";"85";"2.66037735849057";"1.01111111111111";"0.904761904761905";"0.19047619047619";"1.00943396226415";"1.65094339622642";"0.977777777777778";"0.0333333333333333";"2.26530612244898";"1.02040816326531";"1.24489795918367";"2.15";"0.925";"1.225";"2.4";"1.15555555555556";"1.24444444444444";"1.09411764705882";"0.905882352941176";"0.188235294117647";"107";"358";"3.90576324460547";"0.105409255338946";"0.300792603759119";"0.511766315719159";"1.83352526970454";"2.23411835313466";"0.14823135407897";"0.180511134456912";"3.10762174744129";"1.12712384557568";"2.25028342886048";"1.38767468292861";"0.61550479595707";"0.999679435798784";"5.05604948192127";"2.47676067361048";"2.672720401283";"0.397118472539988";"0.331789140288596";"0.449712014914593";"0";"0"
"9";"Axl_Rose";"0.00215814640094991";"612";"303";"807";"0.0177705977382876";"4";"0";"0.105215082998278";"0";"1";"953.856148491879";"3.32482598607889";"2516.36939318057";"7.63110592155081";"0";"0";"40";"6.02106567534077";"7.99803340309487";"0.41515000348622";"159";"105";"93";"73";"3.12211221122112";"1";"1";"0";"1.4026402640264";"1.71947194719472";"0.991869918699187";"0.00813008130081301";"2.0251572327044";"1.0440251572327";"0.981132075471698";"2.4952380952381";"1.14285714285714";"1.35238095238095";"4.27956989247312";"2.05376344086022";"2.2258064516129";"1.24657534246575";"1.01369863013699";"0.232876712328767";"182";"625";"8.84758391987073";"0";"0";"0";"4.02511893114932";"4.87837338388062";"0.0901669634667432";"0.0901669634667432";"4.02672981232296";"1.48556732524787";"2.62768054363686";"3.89556900535183";"1.89852458619729";"2.09844700992897";"14.5283572722586";"6.68119618194919";"7.87418599279242";"0.741260598908827";"0.31149954008043";"0.540589902719589";"0";"0"
"10";"Balto-Slavic_languages";"0.0857142857142857";"15";"1";"18";"0";"4";"0";"0.36734693877551";"0";"1";"5.88888888888889";"3.33333333333333";"5.79750904364203";"3.53553390593274";"0";"0";"7";"2.38888888888889";"2.32982930172221";"0.329846239872372";"2";"0";"0";"7";"1";"1.25";"1";"0";"0";"1";"0.5";"0.75";"1";"0";"1";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"1.14285714285714";"0.857142857142857";"0.285714285714286";"6";"12";NA;"0.5";"0";"0";NA;NA;"0.577350269189626";"0.957427107756338";"0";"0";"0";NA;NA;NA;NA;NA;NA;"0.377964473009227";"0.377964473009227";"0.755928946018454";"0";"0"
