"";"page";"nedits_edit";"nedits_talk";"density_edit";"density_talk";"ncontributors_edit";"ncontributors_talk";"nadmins_edit";"nadmins_talk";"nbots_edit";"nbots_talk";"nanon_edit";"nanon_talk";"transitivity_edit";"transitivity_talk";"centralization_edit";"centralization_talk";"mean_betweenness_edit";"mean_betweenness_talk";"mean_betweenness_admins_edit";"mean_betweenness_admins_talk";"mean_degree_centrality_edit";"mean_degree_centrality_talk";"mean_degree_centrality_admins_edit";"mean_degree_centrality_admins_talk";"sd_betweenness_edit";"sd_betweenness_talk";"sd_betweenness_admins_edit";"sd_betweenness_admins_talk";"sd_degree_centrality_edit";"sd_degree_centrality_talk";"sd_degree_centrality_admins_edit";"sd_degree_centrality_admins_talk";"max_discussion_depth";"mean_discussion_depth";"sd_discussion_depth";"iscontroversial";"isfeatured";"nadded";"ndeleted";"nrestored";"ninitialized";"nresponded";"degree_assortativity_edit";"degree_assortativity_talk";"nquar1_edit";"nquar2_edit";"nquar3_edit";"nquar4_edit";"nquar1_talk";"nquar2_talk";"nquar3_talk";"nquar4_talk"
"1";"2003_Insight_Bowl";"65";"107";"0.128458498023715";"0.0721997300944669";"23";"39";"3";"3";"2";"1";"1";"0";"0.17741935483871";"0.0583153347732181";"0.887396694214876";"1.53289473684211";"2.81818181818182";"26.125";"0";"0";"4.45454545454545";"11.9375";"3.66666666666667";"1";"11.5578724506033";"64.3854782914192";"0";"0";"8.75446701065762";"28.8962944567869";"1.15470053837925";"0";"17";"3.57009345794393";"3.85372191948156";"0";"0";"32";"33";"0";"23";"84";"-0.198628508608535";"0.355466331469004";"2";"0";"1";"20";"3";"0";"0";"13"
"2";"Aiphanes";"250";"173";"0.043859649122807";"0.0873737373737374";"76";"45";"16";"4";"8";"2";"6";"0";"0.127770083102493";"0.015748031496063";"0.7392";"2.73476239669421";"7.98666666666667";"45.1111111111111";"0.11875";"0";"5.33333333333333";"12.1481481481481";"2.375";"1";"48.1865436447896";"102.764979568144";"0.271339271024303";"0";"13.7037510482639";"46.3678467041247";"1.96214168703486";"0";"23";"6.24277456647399";"5.08977741335404";"0";"0";"100";"146";"4";"18";"155";"-0.0852776111817316";"0.234737359723789";"5";"3";"5";"63";"6";"2";"2";"17"
"3";"Annunciation_(Memling)";"153";"124";"0.364285714285714";"0.176638176638177";"21";"27";"3";"0";"4";"1";"3";"1";"0.302670623145401";"0";"2.5575";"3.81065088757396";"4.55";"27.9";"2.66666666666667";"NaN";"12.25";"23.1";"2.66666666666667";"NaN";"13.9535780719059";"59.3603870906816";"4.61880215351701";NA;"27.8697629019431";"62.2565480714903";"2.08166599946613";NA;"20";"6.04838709677419";"5.46660941677787";"0";"0";"61";"92";"0";"17";"107";"-0.0545877176787649";"0.0374422493058496";"1";"1";"2";"17";"2";"1";"0";"7"
"4";"Attalus_I";"3983";"208";"0.073682847417493";"0.0223367697594502";"233";"97";"48";"9";"4";"1";"72";"22";"0.111930131004367";"0.0554699537750385";"1.12294701248514";"0.698404947916667";"71.2327586206897";"283.347826086957";"59.7878798392893";"37.7777777777778";"33.2758620689655";"5.6231884057971";"15.2708333333333";"1.22222222222222";"500.508499337583";"393.971476501377";"160.230147117897";"100.540760114714";"63.0009394840823";"17.8309887631843";"21.919329450193";"0.440958551844098";"37";"8.24038461538461";"9.07669436125757";"0";"0";"246";"2063";"1674";"28";"180";"-0.0925787363718802";"0.489239022370922";"41";"33";"47";"112";"14";"13";"10";"32"
"5";"Audioslave";"2843";"221";"0.0172050689292069";"0.00826724524913961";"407";"164";"36";"9";"3";"0";"235";"67";"0.067000945144779";"0.019047619047619";"0.498798806086049";"0.0688396251270277";"255.773399014778";"93.7333333333333";"94.6798549423914";"29.8888888888889";"12.9753694581281";"3.31666666666667";"10";"1.22222222222222";"1216.92088588677";"145.06519735827";"305.503388437389";"89.6666666666667";"25.7558217652133";"3.48341408240074";"26.6415357772676";"0.666666666666667";"22";"4.75565610859729";"4.90306278576985";"0";"0";"418";"1521";"904";"44";"177";"-0.42493555647376";"0.45315769453861";"99";"109";"100";"98";"28";"37";"27";"28"
"6";"Baden-Powell_House";"365";"219";"0.0466036772216547";"0.0453416149068323";"89";"70";"21";"7";"10";"3";"9";"1";"0.128695652173913";"0.00818926296633303";"0.958483987603306";"1.99768956101659";"30.2727272727273";"125.516129032258";"6.70675968420329";"0";"6.77272727272727";"12.8709677419355";"3.9047619047619";"1";"165.62292989953";"306.212221720791";"22.8517677267026";"0";"19.3246476363631";"49.5323072586528";"2.7185430271519";"0";"41";"7.55251141552511";"9.23449509324482";"0";"0";"134";"227";"4";"39";"180";"-0.0163459689849589";"0.394769338528641";"5";"3";"11";"70";"4";"1";"0";"26"
"7";"BAE_Systems";"5537";"953";"0.0207555515571349";"0.00451359287676423";"517";"460";"52";"14";"9";"6";"214";"89";"0.0695596704426948";"0.0194690265486726";"1.38987853794844";"0.58717682183016";"382.015503875969";"836.285087719298";"61.8729767302657";"0";"19.8817829457364";"7.34210526315789";"17.3269230769231";"1";"4557.23249586176";"3595.48031207463";"269.583745009418";"0";"75.0739413991518";"37.2437687062227";"30.1725242848433";"0";"65";"6.5299055613851";"10.4779378910669";"0";"0";"815";"3109";"1613";"232";"721";"-0.0199450401630727";"0.45992296977983";"79";"105";"127";"206";"60";"41";"44";"83"
"8";"Barton_Fink";"1603";"260";"0.007828830412784";"0.00806952203600248";"453";"180";"32";"8";"18";"1";"197";"45";"0.0434377646062659";"0.00940438871473354";"0.512106958258282";"0.236259792141319";"198.179203539823";"155.721739130435";"122.029906905944";"0";"6.05530973451327";"3.95652173913043";"6";"1";"1653.13720096675";"246.783258088109";"292.036126549301";"0";"17.5627867807116";"9.04801161092123";"7.53914515561409";"0";"25";"3.46538461538462";"4.60765204637431";"0";"0";"469";"995";"139";"65";"195";"-0.248097146711927";"0.209284881408893";"73";"89";"105";"186";"29";"17";"26";"43"
"9";"Battle_of_Ceresole";"571";"133";"0.118219461697723";"0.0291922739244952";"70";"68";"18";"3";"0";"1";"25";"12";"0.183718778908418";"0.0077319587628866";"1.35034656584751";"1.14435286255291";"11.1739130434783";"46.0277777777778";"2.45661207021051";"0";"15.304347826087";"6.5";"6.61111111111111";"1";"81.4298324662634";"90.2787702021153";"6.86476554579929";"0";"26.2730595342264";"25.5594544989856";"7.86009196839541";"0";"30";"6.33834586466165";"7.47712391843231";"0";"0";"85";"301";"185";"32";"101";"0.0353636294568333";"0.549437534031298";"7";"19";"11";"33";"4";"5";"13";"14"
"10";"Battle_of_Hochkirch";"113";"180";"0.0410014513788099";"0.0383631713554987";"53";"69";"10";"4";"2";"1";"6";"5";"0.109875735775016";"0.00662251655629139";"0.536427514792899";"1.62489186851211";"4.76923076923077";"32.6111111111111";"6.03333333333333";"0";"3.21153846153846";"9.08333333333333";"3.1";"1";"14.8747184241728";"43.0715536074418";"18.9040462061158";"0";"3.17673243432242";"36.7985830472549";"4.25440947723653";"0";"28";"6.76666666666667";"7.19023235652243";"0";"0";"59";"53";"1";"33";"147";"-0.382100025477004";"0.644058314338057";"3";"3";"9";"37";"7";"2";"6";"21"
"11";"Battle_of_the_Nile";"2142";"20";"0.0115042536736272";"0.0526315789473684";"432";"20";"43";"1";"14";"0";"137";"2";"0.0585871254946297";"0";"0.608233159812878";"0.138504155124654";"463.048723897912";"7.5";"93.0678514829305";"0";"8.7030162412993";"3.5";"18.046511627907";"1";"3180.6743356583";"6.48074069840786";"239.653913961956";NA;"26.5016886727816";"2";"80.5900719066715";NA;"4";"0.8";"1.19648608323224";"0";"0";"533";"1287";"322";"12";"8";"-0.190157333982451";"-0.0782780363856437";"73";"46";"90";"223";"1";"1";"3";"3"
"12";"Ben_Crosby";"156";"97";"0.1";"0.119458128078818";"40";"29";"11";"4";"9";"2";"0";"0";"0.258278145695364";"0.0408163265306122";"0.817882971729126";"2.50255102040816";"11.8205128205128";"23.6875";"37.0311004784689";"0";"6.69230769230769";"11.3125";"13.3636363636364";"1";"44.0840976578959";"44.7775520396847";"79.4308865936571";"0";"11.9541973385124";"34.9260528354789";"21.0441095191634";"0";"15";"4.83505154639175";"3.99134587882316";"0";"0";"51";"105";"0";"13";"84";"-0.13356950168602";"0.435395192855858";"1";"0";"0";"39";"4";"0";"0";"12"
"13";"California_condor";"9007";"212";"0.0142689669375663";"0.0156203949307398";"795";"117";"70";"2";"23";"0";"384";"20";"0.0865667204135076";"0.0243024302430243";"0.635144566617389";"0.484207788347206";"525.110831234257";"60.1739130434783";"71.2913792463209";"0";"21.6662468513854";"7.67391304347826";"6.64285714285714";"1";"4864.8528120626";"92.8367187731569";"260.512136712847";"0";"62.6011469605495";"18.3485444143562";"14.6248108763054";"0";"19";"3.81603773584906";"4.33098911225974";"0";"0";"811";"4842";"3354";"71";"141";"-0.181720921936408";"0.368975686994736";"183";"159";"175";"278";"11";"10";"14";"11"
"14";"Charles_Edward_Magoon";"1101";"99";"0.0710322580645161";"0.0199195171026157";"125";"71";"26";"8";"0";"1";"53";"12";"0.200622964745859";"0.0347107438016529";"0.72102627471384";"0.4";"16.0403225806452";"60.1777777777778";"3.0149070685681";"5.125";"16.741935483871";"3.82222222222222";"15.1153846153846";"1.25";"105.370392224019";"152.971074046532";"15.0758355443303";"12.2525507548428";"26.1045026075206";"8.73677933401738";"20.6907262764301";"0.462910049886276";"24";"4.96969696969697";"6.06672850927045";"0";"0";"125";"577";"399";"26";"73";"-0.264314218668252";"0.12812561717445";"24";"21";"22";"58";"10";"8";"4";"23"
"15";"Common_raven";"3995";"780";"0.00791386858421981";"0.00474365991607371";"711";"406";"54";"12";"23";"7";"314";"111";"0.0516046517476387";"0.0397196261682243";"0.644400912517358";"0.318262459990855";"436.978873239437";"1635.41935483871";"89.329803922228";"43.4166666666667";"9.95070422535211";"5.13620071684588";"5.25925925925926";"1.58333333333333";"3825.1757366291";"3361.47820666202";"283.699140869733";"101.053053872556";"32.0503675069615";"17.4670114945143";"7.73178976860184";"0.996204919895622";"47";"8.41025641025641";"9.4173465398706";"0";"0";"925";"2396";"674";"127";"653";"-0.18127027909937";"0.54390477375699";"145";"142";"167";"257";"72";"46";"67";"94"
"16";"Common_starling";"2942";"600";"0.0136944216876443";"0.00706114955514758";"464";"292";"46";"13";"21";"6";"151";"55";"0.0580271199255147";"0.0215529151699364";"0.67025549403132";"0.541183972792008";"230.717062634989";"1290.04324324324";"15.0655125195795";"0";"11.3434125269978";"5.90810810810811";"6.60869565217391";"1.07692307692308";"2102.32801582697";"2373.34704822664";"72.0936450352216";"0";"36.8668599470504";"26.1876005588853";"11.3401514018299";"0.277350098112615";"43";"6.715";"7.61952778542004";"0";"0";"632";"1734";"576";"107";"493";"-0.191292102401436";"0.560221138454896";"68";"71";"100";"225";"44";"19";"48";"74"
