"";"page";"density";"ncontributors";"nanon";"nedits";"transitivity";"nadmins";"nbots";"centralization";"mean_betweenness_admin";"mean_degree_centrality_admins";"mean_betweenness";"mean_degree_centrality";"sd_betweenness";"sd_degree_centrality";"sd_betweenness_admin";"sd_degree_centrality_admins";"degree_assortativity";"nquar1";"nquar2";"nquar3";"nquar4";"mean_degree_anon";"mean_degree_inscrit";"mean_indegree_admin";"mean_outdegree_admin";"mean_indegree_anon";"mean_outdegree_anon";"mean_indegree_inscrit";"mean_outdegree_inscrit";"mean_degree_quar1";"mean_indegree_quar1";"mean_outdegree_quar1";"mean_degree_quar2";"mean_indegree_quar2";"mean_outdegree_quar2";"mean_degree_quar3";"mean_indegree_quar3";"mean_outdegree_quar3";"mean_degree_quar4";"mean_indegree_quar4";"mean_outdegree_quar4";"nadded";"ndeleted";"nrestored";"sd_degree_anon";"sd_degree_inscrit";"sd_indegree_admin";"sd_outdegree_admin";"sd_indegree_anon";"sd_outdegree_anon";"sd_indegree_inscrit";"sd_outdegree_inscrit";"sd_degree_quar1";"sd_indegree_quar1";"sd_outdegree_quar1";"sd_degree_quar2";"sd_indegree_quar2";"sd_outdegree_quar2";"sd_degree_quar3";"sd_indegree_quar3";"sd_outdegree_quar3";"sd_degree_quar4";"sd_indegree_quar4";"sd_outdegree_quar4";"iscontroversial";"isfeatured";"istalk_page"
"1";"2003_Insight_Bowl";"0.128458498023715";"23";"1";"65";"0.17741935483871";"3";"2";"0.887396694214876";"0";"3.66666666666667";"2.81818181818182";"4.45454545454545";"11.5578724506033";"8.75446701065762";"0";"1.15470053837925";"-0.198628508608535";"2";"0";"1";"20";"43";"4.3125";"0.666666666666667";"3";"23";"20";"2.5";"1.8125";"17.5";"16";"1.5";"NaN";"NaN";"NaN";"43";"23";"20";"2.6";"0.5";"2.1";"32";"33";"0";NA;"7.57820339306532";"0.577350269189626";"1.73205080756888";NA;NA;"7.95822425754221";"0.910585891976516";"20.5060966544099";"22.6274169979695";"2.12132034355964";NA;NA;NA;NA;NA;NA;"1.66701750693298";"1.10023920844036";"1.02083557106808";"0";"0";1
"2";"Aiphanes";"0.043859649122807";"76";"6";"250";"0.127770083102493";"16";"8";"0.7392";"0.11875";"2.375";"7.98666666666667";"5.33333333333333";"48.1865436447896";"13.7037510482639";"0.271339271024303";"1.96214168703486";"-0.0852776111817316";"5";"3";"5";"63";"7.66666666666667";"5.08888888888889";"0.5625";"1.8125";"5.16666666666667";"2.5";"2.84444444444444";"2.24444444444444";"6.2";"4.2";"2";"4";"2.33333333333333";"1.66666666666667";"3";"1";"2";"7.01587301587302";"3.44444444444444";"3.57142857142857";"100";"146";"4";"5.04645089807348";"14.6377814734558";"0.629152869605896";"1.9737865470545";"4.62240918425302";"1.04880884817015";"14.8445820473874";"1.56895384304834";"5.80517010948";"5.44977063737548";"0.707106781186548";"4.35889894354067";"3.21455025366432";"1.15470053837925";"3.39116499156263";"2.23606797749979";"1.22474487139159";"19.0182357849174";"14.04919671424";"8.39876005770569";"0";"0";1
"3";"Annunciation_(Memling)";"0.364285714285714";"21";"3";"153";"0.302670623145401";"3";"4";"2.5575";"2.66666666666667";"2.66666666666667";"4.55";"12.25";"13.9535780719059";"27.8697629019431";"4.61880215351701";"2.08166599946613";"-0.0545877176787649";"1";"1";"2";"17";"61";"3.6";"0.333333333333333";"2.33333333333333";"25";"36";"1.1";"2.5";"3";"0";"3";"2";"1";"1";"90.5";"37";"53.5";"7.05882352941176";"4.58823529411765";"2.47058823529412";"61";"92";"0";"55.4346462061408";"4.27395211328656";"0.577350269189626";"1.52752523165195";"23.0651251893416";"32.4191301548947";"1.96920739836559";"2.36877840059198";NA;NA;NA;NA;NA;NA;"30.4055915910215";"14.142135623731";"16.2634559672906";"14.393881461559";"14.6375323378354";"2.182820625327";"0";"0";1
"4";"Attalus_I";"0.073682847417493";"233";"72";"3983";"0.111930131004367";"48";"4";"1.12294701248514";"59.7878798392893";"15.2708333333333";"71.2327586206897";"33.2758620689655";"500.508499337583";"63.0009394840823";"160.230147117897";"21.919329450193";"-0.0925787363718802";"41";"33";"47";"112";"77.5833333333333";"15.0925925925926";"3.72916666666667";"11.5416666666667";"44.8611111111111";"32.7222222222222";"5.21296296296296";"9.87962962962963";"46.6341463414634";"17.4878048780488";"29.1463414634146";"57.0909090909091";"25.5757575757576";"31.5151515151515";"60.1276595744681";"43.5106382978723";"16.6170212765957";"12";"3.36607142857143";"8.63392857142857";"246";"2063";"1674";"96.3803717379116";"27.8337981319347";"8.517165604183";"20.9872892974947";"53.9638130068753";"89.3997545798412";"24.1923950844857";"16.3459775797936";"95.4431129253339";"45.347062722529";"89.1323625221529";"87.2852234188166";"38.2802415606197";"87.2496852473267";"67.238904700128";"59.3555507606951";"24.7803859950719";"17.8471992907157";"7.20484763699618";"17.0373175656466";"0";"0";1
"5";"Audioslave";"0.0172050689292069";"407";"235";"2843";"0.067000945144779";"36";"3";"0.498798806086049";"94.6798549423914";"10";"255.773399014778";"12.9753694581281";"1216.92088588677";"25.7558217652133";"305.503388437389";"26.6415357772676";"-0.42493555647376";"99";"109";"100";"98";"14.9021276595745";"11.4427480916031";"2.88888888888889";"7.11111111111111";"8.29787234042553";"6.60425531914894";"5.90839694656489";"5.53435114503817";"18.4848484848485";"8.62626262626263";"9.85858585858586";"10.0091743119266";"6.60550458715596";"3.40366972477064";"17.98";"9.79";"8.19";"9.81632653061224";"2.91836734693878";"6.89795918367347";"418";"1521";"904";"24.0528930093739";"42.1605284424157";"2.98355279852516";"26.996060853156";"10.303337135971";"21.5521823259608";"36.4012785873665";"22.3759134613449";"31.428364816322";"10.0990864999962";"30.5841128896214";"12.758073270333";"9.24263305099021";"8.01748005350975";"49.606121323152";"42.1386108604985";"27.1738492085328";"26.3213084227999";"3.16121296499568";"26.5677464311768";"0";"0";1
"6";"Baden-Powell_House";"0.0466036772216547";"89";"9";"365";"0.128695652173913";"21";"10";"0.958483987603306";"6.70675968420329";"3.9047619047619";"30.2727272727273";"6.77272727272727";"165.62292989953";"19.3246476363631";"22.8517677267026";"2.7185430271519";"-0.0163459689849589";"5";"3";"11";"70";"29.3333333333333";"3.89583333333333";"1.38095238095238";"2.52380952380952";"14";"15.3333333333333";"1.08333333333333";"2.8125";"2.4";"0.8";"1.6";"62";"29.3333333333333";"32.6666666666667";"5.72727272727273";"2.36363636363636";"3.36363636363636";"6.7";"3.52857142857143";"3.17142857142857";"134";"227";"4";"55.9866055409685";"3.35958193532199";"1.82964997953681";"1.53684897172909";"27.4499544626216";"28.644371174805";"1.19988179086806";"2.8632391269107";"0.547722557505166";"0.447213595499958";"0.547722557505166";"97.8927985093898";"48.2113402980391";"49.6923870762246";"4.12530990571397";"3.07482445914323";"1.96329963442809";"17.0594442371714";"16.2424755632373";"4.03237416516219";"0";"0";1
"7";"BAE_Systems";"0.0207555515571349";"517";"214";"5537";"0.0695596704426948";"52";"9";"1.38987853794844";"61.8729767302657";"17.3269230769231";"382.015503875969";"19.8817829457364";"4557.23249586176";"75.0739413991518";"269.583745009418";"30.1725242848433";"-0.0199450401630727";"79";"105";"127";"206";"24.588785046729";"19.9545454545455";"4.55769230769231";"12.7692307692308";"15.8738317757009";"8.71495327102804";"7.63223140495868";"12.3223140495868";"18.506329113924";"15.4683544303797";"3.0379746835443";"17.3809523809524";"10.4285714285714";"6.95238095238095";"26.2362204724409";"11.8346456692913";"14.4015748031496";"21.626213592233";"8.33495145631068";"13.2912621359223";"815";"3109";"1613";"105.537697981482";"67.8470485113483";"9.62312056830301";"29.5519584863182";"51.1348944858093";"58.0079164157722";"52.9162913910757";"43.8093218212789";"38.4090245197266";"36.2342221872334";"3.78743888154016";"42.4425813378818";"22.0383656481047";"23.4690389139774";"130.215417167636";"57.6155517722797";"75.220866304896";"72.8970613495363";"57.290270248268";"46.6195041498698";"0";"0";1
"8";"Barton_Fink";"0.007828830412784";"453";"197";"1603";"0.0434377646062659";"32";"18";"0.512106958258282";"122.029906905944";"6";"198.179203539823";"6.05530973451327";"1653.13720096675";"17.5627867807116";"292.036126549301";"7.53914515561409";"-0.248097146711927";"73";"89";"105";"186";"7.6497461928934";"6.81463414634146";"2.5625";"3.4375";"3.66497461928934";"3.98477157360406";"3.6390243902439";"3.17560975609756";"5.34246575342466";"2.9041095890411";"2.43835616438356";"8.03370786516854";"3.7752808988764";"4.25842696629214";"11.0571428571429";"6.8";"4.25714285714286";"5.05376344086022";"1.83333333333333";"3.22043010752688";"469";"995";"139";"25.5820840217219";"32.966631681138";"4.4499909387367";"4.5786143840052";"13.2945224881576";"13.8130658189992";"32.8074662566431";"4.15842992664375";"8.17043990737714";"5.89294395292097";"3.48403621843762";"32.8918508276478";"18.5016908373439";"14.6159378216568";"48.2307810610428";"45.8302469823319";"13.4793492848452";"6.69548551641283";"3.8735648315866";"4.16547091240782";"0";"0";1
"9";"Battle_of_Ceresole";"0.118219461697723";"70";"25";"571";"0.183718778908418";"18";"0";"1.35034656584751";"2.45661207021051";"6.61111111111111";"11.1739130434783";"15.304347826087";"81.4298324662634";"26.2730595342264";"6.86476554579929";"7.86009196839541";"0.0353636294568333";"7";"19";"11";"33";"25.6";"13.4615384615385";"0.944444444444444";"5.66666666666667";"17.6";"8";"4.38461538461539";"9.07692307692308";"26.4285714285714";"14.1428571428571";"12.2857142857143";"25.8421052631579";"15.7368421052632";"10.1052631578947";"10";"3.54545454545455";"6.45454545454545";"10.7878787878788";"4.06060606060606";"6.72727272727273";"85";"301";"185";"40.2668184323851";"17.390182906987";"1.89340099299156";"7.01259371332999";"28.8934825407623";"14.9527032115713";"16.7381645901262";"9.24304312192939";"21.9913402870095";"22.4679666149281";"12.9706628681072";"44.6756995317921";"31.3383721219125";"16.6796440704168";"9.2951600308978";"7.13251198896485";"8.11620152982461";"16.0910642433883";"15.1635652839697";"8.14429527058944";"0";"0";1
"10";"Battle_of_Hochkirch";"0.0410014513788099";"53";"6";"113";"0.109875735775016";"10";"2";"0.536427514792899";"6.03333333333333";"3.1";"4.76923076923077";"3.21153846153846";"14.8747184241728";"3.17673243432242";"18.9040462061158";"4.25440947723653";"-0.382100025477004";"3";"3";"9";"37";"3.33333333333333";"3.18181818181818";"1.1";"2";"1.83333333333333";"1.5";"0.96969696969697";"2.21212121212121";"1.66666666666667";"0";"1.66666666666667";"2.33333333333333";"1";"1.33333333333333";"4.55555555555556";"2.11111111111111";"2.44444444444444";"3.08108108108108";"0.864864864864865";"2.21621621621622";"59";"53";"1";"2.33809038890002";"3.08681212432974";"2.46981780704569";"1.82574185835055";"1.94079021706795";"0.547722557505166";"1.35749881410741";"2.01180229765464";"1.15470053837925";"0";"1.15470053837925";"1.15470053837925";"1";"0.577350269189626";"3.00462606288666";"1.96497102042527";"1.81046341520004";"3.3778558154412";"1.6014257911513";"2.08346846408599";"0";"0";1
