"";"page";"density";"ncontributors";"nanon";"nedits";"transitivity";"nadmins";"nbots";"centralization";"mean_betweenness_admin";"mean_degree_centrality_admins";"mean_betweenness";"mean_degree_centrality";"sd_betweenness";"sd_degree_centrality";"sd_betweenness_admin";"sd_degree_centrality_admins";"max_discussion_depth";"mean_discussion_depth";"sd_discussion_depth";"degree_assortativity";"nquar1";"nquar2";"nquar3";"nquar4";"mean_degree_anon";"mean_degree_inscrit";"mean_indegree_admin";"mean_outdegree_admin";"mean_indegree_anon";"mean_outdegree_anon";"mean_indegree_inscrit";"mean_outdegree_inscrit";"mean_degree_quar1";"mean_indegree_quar1";"mean_outdegree_quar1";"mean_degree_quar2";"mean_indegree_quar2";"mean_outdegree_quar2";"mean_degree_quar3";"mean_indegree_quar3";"mean_outdegree_quar3";"mean_degree_quar4";"mean_indegree_quar4";"mean_outdegree_quar4";"ninitialized";"nresponded";"sd_degree_anon";"sd_degree_inscrit";"sd_indegree_admin";"sd_outdegree_admin";"sd_indegree_anon";"sd_outdegree_anon";"sd_indegree_inscrit";"sd_outdegree_inscrit";"sd_degree_quar1";"sd_indegree_quar1";"sd_outdegree_quar1";"sd_degree_quar2";"sd_indegree_quar2";"sd_outdegree_quar2";"sd_degree_quar3";"sd_indegree_quar3";"sd_outdegree_quar3";"sd_degree_quar4";"sd_indegree_quar4";"sd_outdegree_quar4";"iscontroversial";"isfeatured"
"1";"2003_Insight_Bowl";"0.0721997300944669";"39";"0";"107";"0.0583153347732181";"3";"1";"1.53289473684211";"0";"1";"26.125";"11.9375";"64.3854782914192";"28.8962944567869";"0";"0";"17";"3.57009345794393";"3.85372191948156";"0.355466331469004";"3";"0";"0";"13";"NaN";"10.8333333333333";"1";"0";"NaN";"NaN";"5.41666666666667";"5.41666666666667";"40.3333333333333";"18.6666666666667";"21.6666666666667";"NaN";"NaN";"NaN";"NaN";"NaN";"NaN";"1";"1";"0";"23";"84";NA;"34.0636658821879";"0";"0";NA;NA;"15.2997821335251";"18.7638837486628";"68.1273317643758";"30.5995642670502";"37.5277674973257";NA;NA;NA;NA;NA;NA;"0";"0";"0";"0";"0"
"2";"Aiphanes";"0.0873737373737374";"45";"0";"173";"0.015748031496063";"4";"2";"2.73476239669421";"0";"1";"45.1111111111111";"12.1481481481481";"102.764979568144";"46.3678467041247";"0";"0";"23";"6.24277456647399";"5.08977741335404";"0.234737359723789";"6";"2";"2";"17";"NaN";"1.04761904761905";"0.75";"0.25";"NaN";"NaN";"0.714285714285714";"0.333333333333333";"1";"0.833333333333333";"0.166666666666667";"1";"0.5";"0.5";"1";"1";"0";"1.29411764705882";"0.764705882352941";"0.529411764705882";"18";"155";NA;"0.218217890235992";"0.5";"0.5";NA;NA;"0.462910049886276";"0.483045891539648";"0";"0.408248290463863";"0.408248290463863";"0";"0.707106781186548";"0.707106781186548";"0";"0";"0";"0.985184366143778";"0.562295714538387";"0.799816155346303";"0";"0"
"3";"Annunciation_(Memling)";"0.176638176638177";"27";"1";"124";"0";"0";"1";"3.81065088757396";"NaN";"NaN";"27.9";"23.1";"59.3603870906816";"62.2565480714903";NA;NA;"20";"6.04838709677419";"5.46660941677787";"0.0374422493058496";"2";"1";"0";"7";"1";"1";"NaN";"NaN";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"NaN";"NaN";"NaN";"1";"1";"0";"17";"107";NA;"0";NA;NA;NA;NA;"0";"0";"0";"0";"0";NA;NA;NA;NA;NA;NA;"0";"0";"0";"0";"0"
"4";"Attalus_I";"0.0223367697594502";"97";"22";"208";"0.0554699537750385";"9";"1";"0.698404947916667";"37.7777777777778";"1.22222222222222";"283.347826086957";"5.6231884057971";"393.971476501377";"17.8309887631843";"100.540760114714";"0.440958551844098";"37";"8.24038461538461";"9.07669436125757";"0.489239022370922";"14";"13";"10";"32";"2.59090909090909";"3.21621621621622";"0.888888888888889";"0.333333333333333";"1.27272727272727";"1.31818181818182";"1.81081081081081";"1.40540540540541";"1.64285714285714";"1";"0.642857142857143";"2.23076923076923";"1.15384615384615";"1.07692307692308";"2.8";"1.5";"1.3";"3.375";"1.875";"1.5";"28";"180";"2.06234011580213";"10.1383078117251";"0.333333333333333";"0.5";"0.935125058192151";"1.12911105516321";"4.94322115987495";"5.21993752335675";"0.497245158098847";"0";"0.497245158098847";"1.16575055606865";"0.554700196225229";"0.640512615220349";"3.01109061083632";"1.26929551764398";"1.76698110409314";"10.909451362569";"5.32644043822284";"5.61104900778294";"0";"0"
"5";"Audioslave";"0.00826724524913961";"164";"67";"221";"0.019047619047619";"9";"0";"0.0688396251270277";"29.8888888888889";"1.22222222222222";"93.7333333333333";"3.31666666666667";"145.06519735827";"3.48341408240074";"89.6666666666667";"0.666666666666667";"22";"4.75565610859729";"4.90306278576985";"0.45315769453861";"28";"37";"27";"28";"3.32835820895522";"1.40909090909091";"0.888888888888889";"0.333333333333333";"1.41791044776119";"1.91044776119403";"1.11363636363636";"0.295454545454545";"2";"0.964285714285714";"1.03571428571429";"2.72972972972973";"1.27027027027027";"1.45945945945946";"3.62962962962963";"1.74074074074074";"1.88888888888889";"1.46428571428571";"1.10714285714286";"0.357142857142857";"44";"177";"3.99009402069483";"1.28168097866756";"0.333333333333333";"0.707106781186548";"1.70693109100357";"2.36599228516111";"0.492544843474156";"0.823479443116021";"1.539600717839";"0.744468135135953";"0.922241346139448";"3.89193360004345";"1.72640681198855";"2.20598421716167";"4.35137598174106";"1.58338956265428";"2.90004420832794";"1.52709219826787";"0.628890010655795";"0.989361399507773";"0";"0"
"6";"Baden-Powell_House";"0.0453416149068323";"70";"1";"219";"0.00818926296633303";"7";"3";"1.99768956101659";"0";"1";"125.516129032258";"12.8709677419355";"306.212221720791";"49.5323072586528";"0";"0";"41";"7.55251141552511";"9.23449509324482";"0.394769338528641";"4";"1";"0";"26";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"NaN";"NaN";"NaN";"1";"1";"0";"39";"180";NA;"0";"0";"0";NA;NA;"0";"0";"0";"0";"0";NA;NA;NA;NA;NA;NA;"0";"0";"0";"0";"0"
"7";"BAE_Systems";"0.00451359287676423";"460";"89";"953";"0.0194690265486726";"14";"6";"0.58717682183016";"0";"1";"836.285087719298";"7.34210526315789";"3595.48031207463";"37.2437687062227";"0";"0";"65";"6.5299055613851";"10.4779378910669";"0.45992296977983";"60";"41";"44";"83";"1";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"0";"1";"1";"0";"232";"721";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"8";"Barton_Fink";"0.00806952203600248";"180";"45";"260";"0.00940438871473354";"8";"1";"0.236259792141319";"0";"1";"155.721739130435";"3.95652173913043";"246.783258088109";"9.04801161092123";"0";"0";"25";"3.46538461538462";"4.60765204637431";"0.209284881408893";"29";"17";"26";"43";"5.77777777777778";"1";"0.875";"0.125";"2.37777777777778";"3.4";"0.950819672131147";"0.0491803278688525";"2.31034482758621";"1";"1.31034482758621";"1.47058823529412";"0.823529411764706";"0.647058823529412";"7.15384615384615";"3.30769230769231";"3.84615384615385";"1.2093023255814";"1";"0.209302325581395";"65";"195";"13.9559190585098";"0";"0.353553390593274";"0.353553390593274";"6.00109417632579";"8.00113628294018";"0.218038949746501";"0.218038949746501";"2.86734631268134";"0.755928946018454";"2.25362324579557";"1.2307338795828";"0.727606875108999";"0.785905247993376";"18.1365758790182";"7.74477491354904";"10.4103498795854";"1.37248713299344";"0.534522483824849";"0.940064322391058";"0";"0"
"9";"Battle_of_Ceresole";"0.0291922739244952";"68";"12";"133";"0.0077319587628866";"3";"1";"1.14435286255291";"0";"1";"46.0277777777778";"6.5";"90.2787702021153";"25.5594544989856";"0";"0";"30";"6.33834586466165";"7.47712391843231";"0.549437534031298";"4";"5";"13";"14";"1.16666666666667";"1";"1";"0";"0.833333333333333";"0.333333333333333";"1";"0";"1";"0.75";"0.25";"1.2";"1";"0.2";"1.07692307692308";"0.923076923076923";"0.153846153846154";"1";"1";"0";"32";"101";"0.389249472080761";"0";"0";"0";"0.389249472080761";"0.492365963917331";"0";"0";"0";"0.5";"0.5";"0.447213595499958";"0";"0.447213595499958";"0.277350098112615";"0.277350098112615";"0.375533808099405";"0";"0";"0";"0";"0"
"10";"Battle_of_Hochkirch";"0.0383631713554987";"69";"5";"180";"0.00662251655629139";"4";"1";"1.62489186851211";"0";"1";"32.6111111111111";"9.08333333333333";"43.0715536074418";"36.7985830472549";"0";"0";"28";"6.76666666666667";"7.19023235652243";"0.644058314338057";"7";"2";"6";"21";"1.2";"1";"1";"0";"0.6";"0.6";"1";"0";"1";"1";"0";"1.5";"0.5";"1";"1";"0.833333333333333";"0.166666666666667";"1";"1";"0";"33";"147";"0.447213595499958";"0";"0";"0";"0.547722557505166";"0.547722557505166";"0";"0";"0";"0";"0";"0.707106781186548";"0.707106781186548";"0";"0";"0.408248290463863";"0.408248290463863";"0";"0";"0";"0";"0"
