"";"contributeurs";"isanon";"status_contrib";"total_rev_count";"registration_year"
"1";"JKBrooks85";"0";"inscrit";"8606";"2006"
"2";"Dale_Arnett";"0";"admin";"225144";"2003"
"4";"Bcspro";"0";"inscrit";"6848";"2007"
"7";"201.220.15.66";"1";"anonyme";"164";"2007"
"13";"Michael_Devore";"0";"inscrit";"35199";"2004"
"15";"Billma";"0";"inscrit";"3546";"2006"
"21";"Bobak";"0";"admin";"28118";"2005"
"30";"Rreagan007";"0";"inscrit";"15946";"2008"
"36";"Dabomb87";"0";"admin";"66454";"2007"
"39";"DeFaultRyan";"0";"inscrit";"19145";"2006"
"40";"Giants2008";"0";"inscrit";"22206";"2008"
"42";"SandyGeorgia";"0";"inscrit";"166106";"2006"
"44";"GimmeBot";"0";"bot";"75273";"2007"
"49";"Kumioko_(renamed)";"0";"inscrit";"318300";"2007"
"51";"Jweiss11";"0";"inscrit";"234470";"2005"
"52";"Levineps";"0";"inscrit";"64853";"2006"
"55";"Svick";"0";"inscrit";"33700";"2007"
"58";"X96lee15";"0";"inscrit";"44455";"2006"
"60";"TAnthony";"0";"inscrit";"350420";"2006"
"61";"Bender235";"0";"inscrit";"435530";"2004"
"63";"SporkBot";"0";"bot";"874737";"2010"
"65";"Z";"0";"inscrit";NA;NA
"66";"Ping";"0";"inscrit";"3052";"2003"
"67";"Eugene_van_der_Pijll";"0";"admin";"37383";"2003"
"68";"Carioca";"0";"admin";"42026";"2004"
"71";"EncycloPetey";"0";"admin";"31109";"2005"
"73";"Mairibot";"0";"inscrit";"12178";"2005"
"76";"MPF";"0";"admin";"40570";"2004"
"79";"Gdrbot";"0";"inscrit";"45158";"2005"
"82";"YurikBot";"0";"inscrit";"278165";"2005"
"83";"Alaibot";"0";"inscrit";"434501";"2006"
"85";"Guettarda";"0";"admin";"48116";"2004"
"87";"BotanyBot";"0";"inscrit";"41140";"2007"
"89";"BOT-Superzerocool";"0";"inscrit";"21402";"2005"
"90";"Hydro";"0";"inscrit";"2971";"2006"
"91";"Mmcknight4";"0";"inscrit";"2542";"2006"
"92";"Ticketautomat";"0";"inscrit";"149";"2007"
"93";"Eubot";"0";"inscrit";"259670";"2005"
"99";"Hesperian";"0";"admin";"135052";"2004"
"103";"TaBOT-zerem";"0";"inscrit";"28640";"2008"
"117";"Courcelles";"0";"admin";"395714";"2006"
"118";"Sasata";"0";"inscrit";"74333";"2006"
"134";"Ucucha";"0";"admin";"37933";"2005"
"174";"Casliber";"0";"admin";"169465";"2006"
"191";"Ling.Nut";"0";"inscrit";"34803";"2006"
"203";"Weepingraf";"0";"inscrit";"308";"2008"
"205";"Colonies_Chris";"0";"inscrit";"316177";"2005"
"211";"John_of_Reading";"0";"inscrit";"488685";"2009"
"212";"Citation_bot_1";"0";"bot";"130043";"2009"
"218";"FoxBot";"0";"inscrit";"56039";"2009"
"219";"Headbomb";"0";"inscrit";"186028";"2006"
"224";"DASHBot";"0";"inscrit";"318263";"2009"
"225";"Pvmoutside";"0";"inscrit";"98973";"2006"
"227";"Brandmeister";"0";"inscrit";"26790";"2010"
"228";"WolfmanSF";"0";"inscrit";"58631";"2006"
"230";"Graham87";"0";"admin";"152026";"2005"
"232";"Proscape123x1";"0";"inscrit";"8";"2012"
"233";"ClueBot_NG";"0";"bot";"4578338";"2010"
