"";"page";"density";"ncontributors";"nanon";"nedits";"transitivity";"nadmins";"nbots";"centralization";"mean_betweenness_admin";"mean_degree_centrality_admins";"mean_betweenness";"mean_degree_centrality";"sd_betweenness";"sd_degree_centrality";"sd_betweenness_admin";"sd_degree_centrality_admins";"iscontroversial";"isfeatured";"istalk_page"
"1";"1954_European_Baseball_Championship";"0.114285714285714";"15";"3";"24";"0.330275229357798";"1";"2";"0.336734693877551";"0";"3";"0.428571428571429";"2.57142857142857";"1.14113881811014";"1.50457178749844";NA;NA;"0";"0";1
"2";"2007_FA_Community_Shield";"0.0748987854251012";"39";"10";"111";"0.100313479623824";"4";"0";"1.01696675900277";"0";"3.25";"7.84210526315789";"4.47368421052632";"48.3308776538086";"12.8225663453681";"0";"1.89296944860009";"0";"0";1
"3";"2014_Myanmar_Census";"0.132478632478632";"27";"5";"93";"0.181959564541213";"2";"3";"1.20044378698225";"0";"2";"10.9615384615385";"5.73076923076923";"46.3078900810724";"12.6666734143032";"0";"0";"0";"0";1
"4";"2015_UTEP_Miners_football_team";"0.16403162055336";"23";"7";"83";"0.236842105263158";"3";"1";"0.850206611570248";"0";"15.3333333333333";"8.63636363636364";"5.59090909090909";"18.2556533509179";"7.41721993169621";"0";"23.9652526240249";"0";"0";1
"5";"9_Piece";"0.11437908496732";"18";"6";"35";"0.3";"3";"1";"0.346020761245675";"0.111111111111111";"3";"1.47058823529412";"3.23529411764706";"5.25759546266348";"2.56245516460059";"0.192450089729875";"1";"0";"0";1
"6";"Abu_Muslim";"0.0996376811594203";"24";"6";"55";"0.317567567567568";"5";"2";"0.417769376181474";"0.02";"1.8";"0.826086956521739";"3.78260869565217";"3.55492199010488";"2.95352673224787";"0.0447213595499958";"1.30384048104053";"0";"0";1
"7";"Accord_Pond";"0.129166666666667";"16";"3";"31";"0.2";"1";"3";"0.466666666666667";"0";"3";"0.8";"3";"2.39642591015394";"3.54562104171167";NA;NA;"0";"0";1
"8";"Acer_lincolnense";"0.3";"5";"0";"6";"0.545454545454545";"1";"0";"0.25";"0";"4";"0";"2";"0";"0.816496580927726";NA;NA;"0";"0";1
"9";"Acremma";"0.214285714285714";"8";"0";"12";"0.5625";"0";"2";"0.244897959183673";"NaN";"NaN";"1.14285714285714";"2.57142857142857";"1.67616341969505";"0.975900072948533";NA;NA;"0";"0";1
"10";"Africa_Volleyball_Championship";"0.35";"5";"0";"7";"0.642857142857143";"0";"1";"0.1875";"NaN";"NaN";"0.25";"2.5";"0.5";"0.577350269189626";NA;NA;"0";"0";0
