"";"page";"density";"ncontributors";"nanon";"nedits";"transitivity";"nadmins";"nbots";"centralization";"mean_betweenness_admin";"mean_degree_centrality_admins";"mean_betweenness";"mean_degree_centrality";"sd_betweenness";"sd_degree_centrality";"sd_betweenness_admin";"sd_degree_centrality_admins";"max_discussion_depth";"mean_discussion_depth";"sd_discussion_depth";"iscontroversial";"isfeatured"
"1";"1954_European_Baseball_Championship";"0.138888888888889";"9";"0";"10";"0";"0";"0";"0.3359375";"NaN";"NaN";"11";"2.57142857142857";"5.71547606649408";"1.98805959477601";NA;NA;"8";"3.6";"2.87518115371304";"0";"0"
"2";"2007_FA_Community_Shield";"0.0686274509803921";"34";"4";"77";"0.0441176470588235";"2";"0";"1.28741965105601";"51";"2";"56.08";"5.8";"86.1703351894761";"16.9901932498329";"63.6396103067893";"0";"38";"12.8831168831169";"11.2460215491314";"0";"0"
"3";"2014_Myanmar_Census";"0.0568181818181818";"33";"3";"60";"0.00898203592814371";"1";"1";"0.9404296875";"0";"1";"32.8666666666667";"6.8";"79.2787727549046";"15.4651682361179";NA;NA;"13";"3.41666666666667";"3.86769175969629";"0";"0"
"4";"2015_UTEP_Miners_football_team";"0.0681818181818182";"33";"6";"72";"0.132530120481928";"2";"0";"0.31640625";"0";"1";"45.75";"7.9375";"65.544807469213";"7.92858751607119";"0";"0";"27";"5.875";"7.98579284253878";"0";"0"
"5";"9_Piece";"0.125";"9";"0";"9";"0";"1";"0";"0.421875";"0";"1";"4";"4";"6.92820323027551";"3.60555127546399";NA;NA;"2";"0.444444444444444";"0.726483157256779";"0";"0"
"6";"Abu_Muslim";"0.0142405063291139";"80";"16";"90";"0.0277777777777778";"1";"3";"0.0432622977087005";"48";"2";"63.53125";"2.5625";"60.7615607263734";"1.54174710214877";NA;NA;"21";"5.63333333333333";"6.01953747896582";"0";"0"
"7";"Accord_Pond";"0.4";"5";"0";"8";"0.5";"0";"1";"0.4375";"NaN";"NaN";"3.75";"3.75";"2.21735578260835";"2.06155281280883";NA;NA;"7";"3.5";"2.44948974278318";"0";"0"
"8";"Acer_lincolnense";"0.7";"5";"0";"14";"0";"0";"0";"2.875";"NaN";"NaN";"1.5";"12.5";"2.12132034355964";"16.2634559672906";NA;NA;"6";"2.57142857142857";"2.02728639069326";"0";"0"
"9";"Acremma";"0.19047619047619";"7";"0";"8";"0";"0";"1";"0.166666666666667";"NaN";"NaN";"5.83333333333333";"2.5";"3.31159578853861";"1.22474487139159";NA;NA;"7";"3.5";"2.44948974278318";"0";"0"
"10";"Alice_in_Wonder_Underground";"0.166666666666667";"6";"0";"5";"0";"0";"1";"0.28";"NaN";"NaN";"3.33333333333333";"2.33333333333333";"3.05505046330389";"1.52752523165195";NA;NA;"2";"0.6";"0.894427190999916";"0";"0"
"11";"Anne_Svingheim";"0.25";"4";"0";"3";"0";"0";"0";"0.111111111111111";"NaN";"NaN";"1.33333333333333";"1.66666666666667";"1.15470053837925";"0.577350269189626";NA;NA;"2";"1";"1";"0";"0"
"12";"Bawa_Mumuni";"0.0882352941176471";"17";"4";"24";"0.04";"1";"2";"0.537109375";"0";"1";"15.8333333333333";"3.58333333333333";"26.7065988894585";"5.07145905728292";NA;NA;"10";"3.54166666666667";"3.13437001043572";"0";"0"
"13";"Brushgrove,_New_South_Wales";"0.2";"6";"0";"6";"0";"0";"0";"0.24";"NaN";"NaN";"2.25";"2.5";"2.87228132326901";"1.29099444873581";NA;NA;"3";"1.16666666666667";"1.16904519445001";"0";"0"
"14";"Callonema";"0.5";"2";"0";"1";"NaN";"0";"0";"0";"NaN";"NaN";"0";"1";NA;NA;NA;NA;"0";"0";NA;"0";"0"
"15";"Calodendrum_capense";"0.178571428571429";"8";"0";"10";"0";"3";"1";"0.285714285714286";"7.33333333333333";"2";"6.83333333333333";"3";"4.21505239192429";"1.78885438199983";"6.42910050732864";"1";"5";"2.1";"1.66332999331662";"0";"0"
"16";"Carrack_Gladden";"0.333333333333333";"3";"0";"2";"0";"0";"1";"0.25";"NaN";"NaN";"0.5";"1.5";"0.707106781186548";"0.707106781186548";NA;NA;"1";"0.5";"0.707106781186548";"0";"0"
"17";"Charles_Emilius_Gold";"0.833333333333333";"3";"0";"5";"0";"0";"0";"1.75";"NaN";"NaN";"0.5";"4.5";"0.707106781186548";"4.94974746830583";NA;NA;"4";"2";"1.58113883008419";"0";"0"
"18";"Clifton_High_School";"0.2";"5";"0";"4";"0";"0";"0";"0.21875";"NaN";"NaN";"2.33333333333333";"2";"2.08166599946613";"1";NA;NA;"2";"0.75";"0.957427107756338";"0";"0"
"19";"Collingwood_Children's_Farm";"0.0434782608695652";"23";"2";"22";"0";"4";"1";"0.0495867768595041";"47.5";"1.75";"51.3333333333333";"2.16666666666667";"29.1123584026562";"0.785905247993376";"34.7610893576904";"0.5";"16";"6.22727272727273";"5.53716291616683";"0";"0"
"20";"Comte_AC-8";"0.1";"10";"0";"9";"0";"2";"1";"0.259259259259259";"0";"1";"3.6";"2.6";"5.12835256198323";"1.94935886896179";"0";"0";"2";"0.555555555555556";"0.726483157256779";"0";"0"
"21";"Cops_L.A.C.";"0.0367003367003367";"55";"17";"109";"0.0355731225296443";"3";"2";"0.820816186556927";"0";"1";"46.0294117647059";"5.79411764705882";"78.625497173017";"15.2787819040193";"0";"0";"26";"6.91743119266055";"7.14677917662134";"0";"0"
"22";"Dalaca_perkeo";"0.25";"4";"0";"3";"0";"0";"0";"0.333333333333333";"NaN";"NaN";"1";"2";"1.4142135623731";"1.4142135623731";NA;NA;"1";"0.333333333333333";"0.577350269189626";"0";"0"
"23";"David_Grubin";"0.0726600985221675";"29";"9";"59";"0.0714285714285714";"0";"3";"0.646045918367347";"NaN";"NaN";"9.23809523809524";"5.23809523809524";"8.81989093982892";"8.44928850202644";NA;NA;"12";"4.40677966101695";"3.28065723055713";"0";"0"
"24";"David_Pearce_(athlete)";"0.333333333333333";"3";"0";"2";"0";"0";"0";"0.25";"NaN";"NaN";"0.5";"1.5";"0.707106781186548";"0.707106781186548";NA;NA;"1";"0.5";"0.707106781186548";"0";"0"
"25";"Dimensionless_numbers_in_fluid_mechanics";"0.0616666666666667";"25";"4";"37";"0";"0";"3";"0.391493055555556";"NaN";"NaN";"18.8571428571429";"4.5";"24.1879090674441";"5.52964041117712";NA;NA;"8";"2";"2.13437474581095";"0";"0"
"26";"Donga_Ramudu";"0.053475935828877";"34";"4";"60";"0.0147058823529412";"0";"1";"0.741046831955923";"NaN";"NaN";"19.8333333333333";"8.16666666666667";"37.9613040616442";"14.3959169295472";NA;NA;"7";"1.66666666666667";"1.85642874455655";"0";"0"
"27";"Dothan";"0.333333333333333";"3";"0";"2";"0";"1";"0";"0.25";"0";"1";"0.5";"1.5";"0.707106781186548";"0.707106781186548";NA;NA;"1";"0.5";"0.707106781186548";"0";"0"
"28";"Dysart_State_High_School";"0.0666666666666667";"16";"3";"16";"0";"2";"0";"0.391111111111111";"0";"1";"12.625";"3";"17.4268880920097";"4.07080195679286";"0";"0";"5";"1.125";"1.58640053790544";"0";"0"
"29";"Edwardsimemna";"0.25";"5";"0";"5";"0";"0";"0";"0.15625";"NaN";"NaN";"0.333333333333333";"2.66666666666667";"0.577350269189626";"0.577350269189626";NA;NA;"2";"0.8";"0.836660026534076";"0";"0"
"30";"Finger_Lickin'_Records";"0.1";"10";"2";"9";"0";"2";"0";"0.197530864197531";"0";"1";"4.4";"2.6";"4.97995983919549";"1.81659021245849";"0";"0";"2";"0.555555555555556";"0.726483157256779";"0";"0"
"31";"Flat-for-Sale_Scheme";"0.133333333333333";"6";"0";"4";"0";"1";"0";"0.08";"1";"2";"0.5";"1.5";"0.577350269189626";"0.577350269189626";NA;NA;"1";"0.5";"0.577350269189626";"0";"0"
"32";"Geez_(magazine)";"0.0612648221343874";"23";"3";"31";"0";"1";"0";"0.767561983471074";"0";"1";"8.27272727272727";"4.54545454545455";"12.6577320961609";"10.1129979369486";NA;NA;"7";"1.90322580645161";"2.15026880040113";"0";"0"
"33";"Gegham_Ter-Karapetian";"0.111111111111111";"9";"0";"8";"0";"1";"1";"0.15625";"0";"1";"5";"2";"3.74165738677394";"1";NA;NA;"6";"2.625";"2.26384628453435";"0";"0"
"34";"Glenadrienne";"0.5";"2";"0";"1";"NaN";"0";"0";"0";"NaN";"NaN";"0";"1";NA;NA;NA;NA;"0";"0";NA;"0";"0"
"35";"Glenn_W._Ferguson";"0.127272727272727";"11";"0";"14";"0";"2";"2";"0.08";"17.5";"3";"14.9";"2.7";"8.84998430632632";"1.15950180872841";"10.6066017177982";"1.4142135623731";"13";"6.5";"4.18330013267038";"0";"0"
"36";"Golden_Boy_(Nadav_Guedj_song)";"0.0428571428571429";"21";"6";"18";"0";"0";"1";"0.08625";"NaN";"NaN";"2.57142857142857";"2.07142857142857";"2.20887321481358";"0.997248963150875";NA;NA;"5";"1.5";"1.58113883008419";"0";"0"
"37";"Harbourton,_New_Jersey";"0.333333333333333";"4";"0";"4";"0";"0";"0";"0.444444444444444";"NaN";"NaN";"1";"2.33333333333333";"1.73205080756888";"1.52752523165195";NA;NA;"3";"1.5";"1.29099444873581";"0";"0"
